goal,steps,ordered?
How to Have a Balanced Health Triangle - Improving Your Social Health,Build up a community. Bond with people over common interests. Volunteer. Reach out to existing networks. Initiate invitations to social events. Say yes. Express genuine interest in others.,1
How to Draw Skylanders - Hex,"Near the topmost and center of the paper, draw a circle for her head. Below the circle, draw a curved spade shape for the chin and jaws. Beneath these, draw a polygon and stick figure to represent her torso and arms. Draw a vertical line at the center of the entire head and chin part. Using these line guides, draw Hex's large almond-like eyes. Begin tracing the outline of Hex's body. Add details on her body and costume. Erase unnecessary lines. Thicken the outline of her eyes.",1
How to Open CSV Files - OpenOffice Calc,Download and open OpenOffice Calc. Click on the “File” menu and select “Open.” This menu is in the upper left corner and will open a window to browse for files on your computer. Select a CSV file and press “Open”. Click on the “Data” menu and select “Text to Columns” (optional). Select the “Separate By” radio button. Select the “Comma” checkbox then click “OK”.,1
How to Make New Friends in High School - Establishing New Friendships,Set up structured activities. Be patient. Be calm and courteous. Be positive.,0
How to Ride the Disneyland Monorail - Preparing to Board,"Find where you want to board the Monorail. Go through the bag-and-ticket check for the monorail ride. Walk the ramp up to the waiting area just before the train platform. Wait in line for your monorail train to arrive. Wait for the train to come to a complete halt and for the exiting passengers to exit. Wait for the aluminum white safety gate to open, before crossing the platform and walking up to the train. Walk up and into the train once it's clear to board. Listen to all safety announcements. Watch the monorail doors as they close.",1
How to Get Your Computer Running at Full Speed - Upgrading Your Hardware,Review your options. Clean your hardware. Upgrade your RAM. Install a larger hard drive.,1
How to Send a Gift via PayPal - Using a Mobile Device,Open PayPal. Sign in to PayPal. Tap Send Money. Tap Let’s get started!. Tap Access Contacts. Select a contact. Tap Friends and Family. Tap Next. Enter an amount and tap Next. Tap Add a note to type a message. Select a payment option under “Sending From.” You may have to scroll down to see it. Tap Send now.,0
How to Do a Nail Treatment - Promoting Nail Growth,Apply coconut oil to your nailbed before bed to alleviate dryness. Use a nail hardener 1-3 times a week to help your nails grow quicker. Take a Biotin supplement to help your nails grow healthy and long. Wear gloves when doing household chores to protect your nails. Avoid peeling off your old nail polish. Use hand sanitizer with alcohol sparingly to avoid drying out your nails. Seek treatment from your local salon.,1
How to Be a Beat Writer - Mastering Your Topic,Research background information on your topic. Get to know the people involved in your beat. Verse yourself in the specialized language or jargon. Get involved in industry activities and events.,0
How to Make Fluffy Pancakes - Mixing the Dry Pancake Mix,Gather your ingredients and supplies. Use fresh baking soda. Combine the dry ingredients. Store leftovers.,0
How to Get a Job at an Art Gallery - Marketing Yourself,Keep an eye out for all opportunities. Use your contacts. Embrace social media. Write a cover letter. Polish your resume. Ask for informational interviews. Be confident. Be proactive.,0
How to Make Rainbow Frosting - Skittles Rainbow Frosting,Separate the Skittles into each color. Microwave the Skittles. Allow the melted Skittles to cool for about 5 minutes. Beat the butter in a large bowl using an electric mixer. Pour in the powdered sugar and tablespoon of milk. Separate the frosting into 5 medium-sized bowls. Pour one color of the melted Skittles into each bowl and stir well. Spoon the frosting colors onto a piping bag. Serve.,0
How to Deal with People That Spitefully Misuse You - Handling Interactions in the Future,Recognize what traits make you vulnerable. Manage your reactions carefully. Restate boundaries periodically. Refuse to engage with negative behavior. Care for yourself.,1
How to Make Slow Cooker Glazed Carrots - Whipping Up Slow Cooker Brown Sugar Glazed Carrots,"Grease the slow cooker. Combine the carrots, salt, brown, sugar, and butter in the slow cooker. Cook the mixture on high for 4 to 5 hours. Transfer the carrots to a serving bowl and garnish them with the parsley.",0
How to Act on a Movie Date at Your Boyfriend's House - Making A Good First Impression,Gather information about family members. Dress appropriately for the occasion. Bring some snacks or a small gift. Greet your boyfriend and his family.,0
How to Face Challenges - Changing Your Perceptions,"Recognize that this too shall pass. Remind yourself of the good things in your life. Be flexible, always. Find meaning in your life. Let yourself be challenged. Be grateful for the challenges you have. Believe in yourself.",1
How to Win a Perfection Match in Battle of Polytopia - Before You Begin,Always play with 9 tribes on Crazy Mode. Make sure you have a good spawn. Don't waste your money.,0
How to Design a Kitchen - Decide Your Design Scheme,Determine the overall style. Pick your colors. Consider your appliance material. Choose your flooring.,1
How to Field Dress a Deer - Removing the Entrails,"Position the deer with its head facing uphill. Slice into the belly just deep enough to get through the skin. Slice the skin all the way up to the neck and down to the anus. Make an incision into the middle of the belly muscle and insert 2 fingers into the hole. Insert the blade facing up between the 2 fingers you inserted. Cut all the way up the deer’s midline without piercing the entrails. Remove the sex organs if they’re in the way (when applicable). Cut a hole around the anus, then tie it off from the inside to prevent spilling. Roll the deer on its side and carefully pull out the entrails with your hands.",1
"How to Decorate a Fondant Cake - Using Buttercream, Royal Icing, and Other Embellishments",Pipe buttercream onto the fondant cake. Use royal icing to make delicate decorations. Use a stencil to apply detailed royal icing designs. Decorate the fondant cake with fresh flowers.,0
How to Make Clove Oil - Gathering Your Ingredients and Supplies,"Buy cloves at your local health food store. Get a bottle of organic extra virgin olive oil. Find a dark, sanitized glass jar to keep the oil in. Use cheesecloth or a coffee filter to strain the oil.",1
How to Live on One Income,"Prepare in advance if possible. Be aware of the stark fact that working costs money. Realize that when one person is home, it costs less for them both to live. Only use one car. Move to a less expensive house/apartment. Examine your budget. Resist the urge to charge. Look into tax savings. Earn from home. Don't forget retirement.",1
How to Do Stonemasonry,"Know the difference between a stonemason and other related trades. Learn how to do wall rock. Construct a cutting operation. Get your tools and plug them in and place them where you'll need them. Consider where your cement is going to be coming from. Get a good amount of stone and adorn it all around your cutting operation. Before you mix any cement, look at your wall and think about what you might need. Dig all the way down to the foundation or footing of the structure you're going to be working on. Lay your first stone at the corner. Get another screw and tie it to the bottom end of your string. Try to make sure that the line isn't off. Keep your joints as tight as can be. Be aware that there are going to be points in time when you're working with rather tight fits and difficult cuts. While doing stone masonry, make sure your joints are T's or I's. Keep in mind that there is more to this job. Proceed to master flat work. Set up your cutting operation. Find out what pattern you're doing.",1
How to Meet an NFL Player - Meeting Players off the Field,Attend a meet and greet at a charitable or promotional event. Attend the annual NFL draft experience. Check out Super Bowl festivities. Hire an NFL player to attend a special event for you. Reach out to your favorite player over social media.,0
How to Do Benchmarking - Creating an Action Plan,Present your results to management and company leaders. Revise your goals based on the results of your benchmarking study. Draft a step-by-step plan to achieve your goals. Work with management to implement your plan. Monitor progress closely and adjust your action plan as needed.,0
How to Find the Flashlight on an iPhone - Using Control Center,Open Control Center. Tap the flashlight icon. Tap the flashlight icon again.,0
How to Know if Your Friend Is Really a Friend - How Supportive is Your Friend?,Remember that friendship is not about the people who are true to your face. Observe how your friend is when he or she doesn't notice you're about. Consider how your friend handles your confidences. Set up the trolling test.,1
How to Stop Being Possessive About a Friend - Changing Your Possessive Behaviors,Give your friend space. Learn to live your own life. Wait for people to come to you. Don't try to change your friend to meet your needs. Unplug from technology and social media. Seek outside help.,1
How to Get Veterinary Hospice Care for Your Dog - Choosing Veterinary Pet Hospice Care,Talk to your veterinarian about hospice care. Educate yourself. Design a hospice care plan. Consider the costs.,0
How to Date a Short Guy As a Tall Girl - Focusing on the Positives,Focus on what you like about him. Notice how easy it is to kiss him. Look at the data. Appreciate how he increases your height. Observe other happy couples.,1
How to Respond to a Pleural Lung Cancer Diagnosis - Seeking Support,Talk to family and friends about your condition. Join a support group. Do not lose hope.,0
How to Change the Icon for an Exe File - Editing the EXE with GConvert,"Make sure you have an icon file. Download and install GConvert. Open GConvert. Click Continue when prompted. Click Tools. Click Modify icons in EXE/DLL…. Click the ""Browse"" icon. Select an EXE file. Click Open. Select the current icon. Click Modify selected icon…. Select your icon. Click Open. Click Close and open in GConvert. Close GConvert.",0
How to Increase Bile - Eating Foods to Increase Bile,"Add healthy fatty foods to your diet. Consume polyunsaturated fats to lower your cholesterol as well. Drink semi-skimmed milk to help empty your gallbladder. Try celery, radishes, and artichokes to increase bile healthily. Eat garlic and onions for a tasty way to increase bile.",0
How to Care for a Hedgehog with Wobbly Hedgehog Syndrome - Seeking Veterinary Care,Recognize the symptoms of Wobbly Hedgehog Syndrome. Find a vet with experience treating exotic animals. Get a diagnosis. Discuss a care plan with your vet.,0
How to Develop a Close Relationship with Someone New - Finding Friends and Partners,Identify someone that you want to get to know better. Find ways to interact with that person one-on-one. Take an interest in exploring new things with someone. Search for a partner. Venture out on your own.,0
How to Clean Skylights - Cleaning Skylights from the Outside,Set up a ladder on the side of the house to access the roof. Soak a soft sponge in the cleaning solution and grab a dry towel. Wipe the exterior of the skylight with a dry towel to remove loose debris. Wipe the soapy sponge over the surface of the skylight. Use a mix of vinegar and water for stains like sap and hard residue. Climb down the ladder and spray down the skylight with a hose.,0
How to Be Ready and Comfortable Kissing a Guy,"Spray nice perfume. Tell yourself that everything will be okay. Start by cuddling. Slowly look up at him. Look at his lips. The guy should then get the idea and you should both lean in and make the kiss natural. At the end, don't make it awkward.",0
How to Get Started in Politics - Climbing the Political Field Ladder,Volunteer. Go to college. Beef up your resume in other ways. Become a field organizer. Advance to a director position. Manage a campaign.,0
How to Take Care of Plants - Caring for Houseplants,Give your plants plenty of light. Water your plants regularly. Fertilize your plants every few weeks. Clean dust off your plants. Move your plant away from air vents.,0
How to Choose Shotgun Shells and Chokes - Selecting Appropriate Ammunition,Use birdshot for target shooting. Determine the size of your target. Test different sizes to determine what's best for your purposes.,1
How to Attend School if You Are Blind or Visually Impaired - Doing Well in School,Use technological resources. Communicate with your instructors. Use resources at school for the blind and visually impaired. Maintain your emotional and mental health.,0
How to Borrow Money from a Friend - Legitimizing the Transaction,Take it seriously. Insist upon legitimate terms. Put it in writing. Be clear regarding business investments.,0
How to Make Chocolate Babka - Making the Filling,"Preheat the oven and grease a pan. Combine the chocolate, cocoa, butter, sugar, cinnamon, and salt in a heatproof bowl. Heat the mixture in a double boiler.",0
How to Prepare for a Movie Night - Movie Night with Friends,Choose a good movie to watch. Invite your friends to come over to your house at a set time. Make the room where you're watching comfortable and cozy. Get some good snacks. Enjoy your movie night with friends.,1
How to Give a Thumbs Up for an Edit on wikiHow - Giving Someone a Thumbs Up in Recent Changes Patrol,"Go to Recent Changes Patrol. Press the ""Thumbs Up"" button if it was a good contribution, and mark the edit as patrolled..",1
How to Deal with an Abusive Boss - Quitting or Taking Legal Action,Consider quitting. Determine whether you were constructively discharged. Consult an attorney.,0
How to Make Bottle Penguins - Adding Optional Details,"Give your penguin character with lashes, eyebrows, and/or blush. Paint the top half of the bottle to turn it into a hat. Let the hat dry, then add some details. Glue a pompom to the top of the hat, if desired. Tie ribbon around the neck to make a scarf.",0
How to Make a Candy Wrapper Collage - Fabric collage,Collect the pieces of fabric you're going to use for making the collage. Check the textures. Select a suitable background. Create the design on paper by drawing it into place. Cut and arrange the fabric materials following your design. Allow to dry.,0
How to Make Curly Fries - Baking the Fries,Toss in olive oil. Heat the oven to 450 Fahrenheit (230 Celsius). Bake for 15 minutes and flip. Bake to preferred crispiness. Finished.,0
How to Move to Italy - Getting a Visa,Understand Italy's immigration and residency laws. Compile the necessary documentation. Obtain the appropriate visa or permit from an embassy or consulate. Receive your visa.,0
How to Make a Good Impression When You Have an Intellectual Disability,"Find out the causes of your intellectual disability. Be in the best physical and mental health as you can be. What you can do now, on your own. Find some role models. Avoid answers that seem to be rude. Humor is a sign of intellectual ability. Improve your vocabulary. Pay attention to how your role models form sentences. Body language makes a bigger impression than words. Learn the facial expressions and gestures of your role models. Ask questions and rephrase what the other person just said. Prepare some topics on which you can speak well. Prepare some short stories about yourself. Be informed. Get feedback from trusted people.",0
How to Make a Balloon Pet - Balloon stress relief pet,Make a stress relief pet that will last a little longer than the other projects suggested in this article. Choose a balloon color. Stretch the open end of the balloon a bit. Funnel in the filling for the balloon. Knot the balloon. Decorate the balloon pet. Add hair. Done.,0
How to Play Fantasy Hockey - Learning the Game,Research the types of fantasy hockey. Research the types of leagues. Learn about the categories. Look into the types of drafts.,1
How to Play the Viola in a School Orchestra,"Join your school’s orchestra. Pick up your viola from the school if they order it for you, or buy one. Get a shoulder rest. Learn how to read music. Learn scales. Learn basic songs. Slowly increase the amount your practice. Have patience, and stick with the instrument. Audition for a more selective ensemble. Listen to other violists and classical music.",1
How to Deal With a Depressed Parent - Supporting Your Parent,Familiarize yourself with the symptoms of depression. Talk to your parent. Encourage your parent to seek therapy. Engage in family therapy. Spend time with your parent. Go outdoors with your parent. Show that you love your parent. Harness the power of human touch. Talk to your younger siblings about what's going on. Know what to do if you parent can no longer take care of themselves or children in the house. Recognize suicidal behaviors. Be prepared to act if you think your parent is in danger.,1
How to Deal With Conflict in Relationships - Communicating Effectively,"Practice active listening. Use ""I"" statements. Attend to the present moment. Address the behavior, not the person. Sit side-by-side. Use humor.",0
How to Lose Your Accent - Learning from Others,Work with a tutor. Listen to a native speaker in person. Get involved with the local community. Join a group of other non-native speakers. Ask to be corrected when you mispronounce something. Watch YouTube videos about pronunciation. Focus on the accent you want to imitate.,0
How to Detect Canine Bladder Stones - Looking For Symptoms of a Blocked Urethra,"Watch your dog while they try to urinate. Take note if the dog is excessively licking their penile tip, vagina, or belly. Examine your dog for abdominal distension. Seek immediate veterinary attention if your dog collapses.",0
How to Change a Name With the Credit Bureaus - Notifying the Credit Reporting Agencies,Contact all 3 credit bureaus with your updated information. Include relevant information in the letter. Get your credit report. Understand how a name change affects your credit history.,0
How to Write an Animal Report - Researching Your Animal,Decide what animal you will write about. Research topics related to animal's name and appearance. Know animal's lifespan and breeding pattern. Identify animal's habitat and range. Learn about animal's diet. Notice animal's behavior. Get to know your animal's enemies.,1
How to Scream Sing - Screaming while You Sing,Know the component parts of scream-singing. Adopt an unobstructed mouth shape. Open your throat for your scream. Breathe openly with your chest relaxed. Add distortion from your chest. Control airflow with your diaphragm. Feel your voice progress through your vocal tract. Use low volumes for practice. Use vocal fry to your advantage. Record yourself and tighten up your technique.,0
How to Care for a Maltese Dog - Grooming a Maltese,"Maltese dogs have long flowing hair that is easily tangled and, like our own, keeps growing. Bathe your Maltese with a mild shampoo and conditioner made for dogs. Clean around your Maltese's eyes regularly. Brush your dog's teeth. Trim your dog's nails regularly. Check the dog's ears on a daily basis.",0
How to Gain Control of Your Emotions - Reacting to Your Emotions in a Healthy Way,Learn to recognize defensiveness in both yourself and others. Take precautions against your emotional triggers. Do nothing if someone is trying to frustrate you. Relax if you feel angry or upset. Try doing the opposite of what you would normally do. Remove yourself from a situation that generates negative feelings.,0
How to Buy Postage Online - Purchasing Postage Labels Online with Stamps.com,Create a Stamps.com account. Download the Stamps.com software. Choose a delivery address. Enter the item’s weight. Choose a postage service. Pay and print labels.,1
How to Make Soursop Juice - Mashing the Soursop,Select a ripe soursop. Wash your hands. Wash the soursop under running water. Peel the fruit. Place the soursop into a large bowl and add the milk or water. Squeeze the fruit with your hands.,0
How to Cope with Constant Bad News - Creating Positive Routines,Get some exercise. Follow a healthy diet. Spend time in nature. Get your sleep cycle on track. Try to lead a balanced life. Keep a journal.,0
How to Tie Dye Using Rit Powder - Preparing to Tie Dye,Choose your fabric. Gather your supplies. Clean your fabric. Follow the package directions. Choose salt or vinegar.,1
How to Know What to Expect During a Fast - Consult With Medical Testing Practitioners,Ask doctors and lab practitioners to explain lab test requirements. Expect to feel hungry and thirsty. Schedule your medical test for the morning.,0
How to Create a Fillable PDF - Editing Form Fields,"Click the Tools menu and select Prepare Form. Edit an existing text field. Click the Text Field tool to add a new field. Click the location where you'd like to add a text field. Type a name for the field into the ""Field Name"" box. Click All Properties to access the field's editing tools. Edit the text field. Add buttons, menus, and other options.",0
How to Dry Sage - Drying Sage in a Food Dehydrator,Set your dehydrator on a low temperature. Spread out the leaves on a tray in a single layer. Dry the sage alone so that the flavors will not get mixed. Check the leaves every 30 minutes to see if they're dry. Determine if the sage is dry.,0
How to Treat Skin Allergies in Golden Retrievers - Treating Skin Allergies with Steroids,Discuss steroid treatment with your vet. Follow treatment instructions. Monitor your Golden Retriever for side effects. Use other skin allergy therapies with steroids.,0
How to Treat a Rotator Cuff Injury - Treating a Minor Injury at Home,Determine if your injury can be treated at home. Reduce inflammation in the shoulder by icing it. Manage your pain with medication. Rest the injured area. Try therapeutic exercises as the pain goes away.,0
How to Be a Hipster Girl - Embracing a Hipster Lifestyle,"Read about pop culture and art. Expand your knowledge of film, music, and television. Learn more about social and political movements in your area. Focus on ways to be sustainable and environmentally friendly. Display confidence and independence around others.",0
How to Prune Buddleia - Pruning Your Buddleia,Prune your buddleia in early spring. Cut back hard in the spring. Remove older branches. Deadhead spent blooms throughout the flowering season.,1
How to Save a wikiHow Article to Read Offline - iOS App,Download the wikiHow App for your iPhone or iPad. Open the wikiHow app on your iPhone or iPad. Open the article you want to save. Hit Options. Tap Bookmark. View the saved article later.,1
How to Add a Second Passport - Sending In Your Materials,"Include a photo and your current passport, if you have it. Pay all necessary fees. Package and send in your materials.",1
How to Make a Monkey Costume,"Shop for a brown sweat suit with the person for whom you are making the costume. Ask your child to try on the hoodie. Take 1 piece of brown fleece. Cut 4 inch (10.2 cm) long ovals out of the brown fleece to make your ears. Place each pair of fleece ovals with the front sides together and pin. Sew around the outside of the ears by hand or on a sewing machine, leaving the flat end of the oval open. Stuff the inside of the ears with pipe cleaners to make them stand up on their own. Cut out 3 inch (7.6 cm) long ovals from your tan felt. Glue 1 piece of tan felt on top of your brown fleece ear with fabric glue. Place 1 of your hands inside the hoodie on the right side. Hand sew the oval ears onto each side of the hoodie in the spot you have previously measured. Cut 2 circles of tan felt that are approximately 8 inches by 10 inches (20.3 by 25.4 cm). Glue the 2 circles together to make a thick attachment that will appear sturdy on your costume. Glue the belly circle onto the center and front of your hoodie. Pin a brown marabou boa to the back center of your brown hoodie. Have the costume-wearer put on the brown sweatpants and some brown shoes.",0
How to Maintain Your Animal Crossing: New Leaf Town - Gardening to Maintain Order,Press ‘B’ to pull weeds. Understand that the number of weeds you have can affect your citizen satisfaction. Keep the flowers in your town well-watered to keep your citizens happy. Select the watering can from your inventory. Water your flowers with the watering can.,0
How to Create a Photography Portfolio - Defining Your Purpose and Goal,Identify the purpose of your portfolio. Consider your audience. Decide on a unifying theme. Choose a portfolio format.,0
How to Determine the Fair Market Value of a Vehicle - Calculating Your Car’s FMV,Go to Edmunds (www.edmunds.com) or Kelley Blue Book (www.kbb.com). Enter in the exact year and model for your vehicle. Provide your car’s mileage. Plug in your zipcode or city name. List out all of your car’s options and amenities. Be honest about your car’s condition. Save or print out copies of your final report.,0
How to Do Makeup when You're over 50 - Applying Eye Makeup,"Use your finger or a brush to apply a soft cream eyeshadow. Try a shimmering shadow to reflect light around your eyes. Curl your lashes with an eyelash curler to open up your eyes. Apply eyeliner right along your lash lines to open your eyes. Coat your top lashes with 2 swipes of black mascara. Fill in your eyebrows with powder, not pencil.",0
How to Separate Sand and Salt - Carrying Out the Experiment,Gather your supplies. Mix equal parts sand and salt into a pan. Add water to the sand and salt. Heat the mixture. Strain the saltwater from the sand using a coffee filer and funnel. Boil the saltwater.,0
How to Calculate Cube Root by Hand - Understanding How this Calculation Works,Review the binomial expansion. Expand the binomial into a cube. Recognize the meaning of the long division algorithm. Review the expanded version. See the precision grow.,0
How to Deal With ADHD Kids - Helping Your Child Succeed in School,Coordinate with your child’s teachers. Use a daily planner for your child. Reward your child with praise. Establish a consistent homework routine. Review homework assignments together. Help your child keep track of school belongings. Encourage peer interactions for your child. Role play to prepare your child for unfamiliar events. Look into your school’s special services. Get an individualized education plan (IEP) for your child. Consider a 504 plan. Act in your child’s best interests.,0
How to Help a Teen Who Lost a Parent - Mentoring a Teen Who Lost a Parent As a Child,Become a parental figure in their life. Learn about the parent who was lost. Watch for warning signs. Know what holidays are hard.,0
How to Be a Young Adult - Becoming a Role Model,"Learn to be more self-sufficient. Take responsibility for your actions. Learn about the ‘status quo.’ You may not agree with the way something is done, but ask your parents or mentors why it is the way it is. Be active in your community. Share what you’re good at. Dress like you respect yourself. Remember to laugh. If you don’t know how to have fun, think of how you did it as a kid.",1
How to Make Rock Cakes - Variations,Add cinnamon and nutmeg for a spiced rock cake. Add 1 cup of oats for classic British rock cakes. Add chopped apples and cinnamon for apple cakes. Add shredded coconut for Jamaican rock cakes. Substitute chocolate for dried fruit for sweeter cakes. Add lemon juice or orange juice for a moist citrus rock cake.,0
How to Show Your Dog Where He Is in the Pack - Teaching Your Dog Good Manners,Train your dog. Create rules of good behavior for your dog. Reinforce the rules using positive reinforcement. Correct bad behavior. Be consistent when teaching your dog good manners.,0
How to Contact the iTunes Store - Using Apple Support Resources,Access the iTunes support page on Apple's website. Search or select a topic. Email iTunes if you don't mind waiting a few days. Get iTunes support to call you if you'd like to talk on the phone. Start an online chat session if you want to talk with a representative.,0
How to Persuade Someone to Quit Smoking - Offering Continued Support,Help distract them. Address withdrawal symptoms. Push them to keep trying if they “slip up”. Reward milestones and successes. Check in with them.,0
How to Get Your First Tattoo - Choosing a Tattoo Artist,Research local tattoo shop reviews. Ask for portfolios from the shop's tattoo artists. Check out the tattoo shop in person. Set up an appointment with the tattoo artist. Discuss your design plans with the tattoo artist at least several days in advance.,1
How to Make Your Life More Exciting - Finding New Experiences,Expand your comfort zone. Get out there and mingle. Start up a new hobby. Take a class to learn something new. Travel to new places. Try new foods. Share your experience with friends.,1
How to Customize Your Yahoo! Tool Bar,"{""smallUrl"":""https:\/\/www.wikihow.com\/images\/5\/58\/Settings-button-1.jpg"",""bigUrl"":""https:\/\/www.wikihow.com\/images\/5\/58\/Settings-button-1.jpg"",""smallWidth"":460,""smallHeight"":394,""bigWidth"":760,""bigHeight"":651.4285714285714,""licensing"":""<div class=\""mw-parser-output\""><p>License: <a rel=\""nofollow\"" class=\""external text\"" href=\""https:\/\/creativecommons.org\/licenses\/by-nc-sa\/3.0\/\"">Creative Commons<\/a><br>\n<\/p><p><br \/>\n<\/p><\/div>""} Click on the Settings button located at the right end of the toolbar to get a pull-down menu. Click on the option ""Toolbar Preferences"" to  change the look of the toolbar. {""smallUrl"":""https:\/\/www.wikihow.com\/images\/4\/4b\/Tb-settings.JPG"",""bigUrl"":""https:\/\/www.wikihow.com\/images\/4\/4b\/Tb-settings.JPG"",""smallWidth"":460,""smallHeight"":399,""bigWidth"":760,""bigHeight"":658.6666666666666,""licensing"":""<div class=\""mw-parser-output\""><p>License: <a rel=\""nofollow\"" class=\""external text\"" href=\""https:\/\/creativecommons.org\/licenses\/by-nc-sa\/3.0\/\"">Creative Commons<\/a><br>\n<\/p><p><br \/>\n<\/p><\/div>""}   Click on the Edit Your Apps option to manage the applications. Click the ""Add Apps"" tab  (on the top) and you will see a screen looking like this (see image). {""smallUrl"":""https:\/\/www.wikihow.com\/images\/e\/e0\/Amazon-button.JPG"",""bigUrl"":""https:\/\/www.wikihow.com\/images\/e\/e0\/Amazon-button.JPG"",""smallWidth"":460,""smallHeight"":235,""bigWidth"":760,""bigHeight"":388.52017937219733,""licensing"":""<div class=\""mw-parser-output\""><p>License: <a rel=\""nofollow\"" class=\""external text\"" href=\""https:\/\/creativecommons.org\/licenses\/by-nc-sa\/3.0\/\"">Creative Commons<\/a><br>\n<\/p><p><br \/>\n<\/p><\/div>""}   Remove Amazon from your toolbar. Apply the technique in steps 6 and 7 to every application you would like to add to or delete from your Yahoo toolbar. Click the ""I'm done' button at the bottom of the screen to save your application settings. Look at your complete customized Yahoo toolbar.",0
How to Download Google Docs - On Desktop,Open Google Docs. Select a document. Click File. Select Download as. Click a format.,1
How to Build Back Muscle - Working Your Back with Free Weights,Do arm rows to build both sides of your back separately. Perform 10-12 reps in each set of arm rows. Try a barbell bent over row to bulk up your lower back.,1
How to Stop Being Self Centered - Taking Little Steps,Play a game that you'll be sure to lose. Thank someone for something small. Make eye contact when someone is talking. Listen when people are talking. Read a novel.,1
How to Prepare a Boat for Fishing - Preparing For First-Time Use,License your boat. Purchase all necessary safety equipment. Get an anchor and supporting equipment. Carry items to cope with weather conditions. Consider other items to help you organize your gear.,0
How to Water Orchids - Deciding When to Water,Water sparingly. Consider your climate. See if the potting mix looks dry. Lift the pot to check its weight. Do a finger test.,0
How to Stay Disciplined when Working Remotely - Focusing on your Purpose,Understand your goals. Take pride in your work. Address conflicts directly. Understand differences in roles.,0
How to Use Instacart on an iPhone or iPad,"Open Instacart on your iPhone or iPad and log in to the app if you haven't done so already. Explore the ""Home"" tab. Find the ""Cart""  icon at the top right corner of every tab's page. Learn a little about the ""Search"" tab. Use the ""Browse"" tab to find seasonal items and other features that might catch your eye. Watch out for Instacart-only coupons in the Coupons tab. Use the ""Your Items"" tab to personalize your browsing. Learn about the product pages. Use the buttons below the product page to add items to your Cart.",0
How to Have Good Sleep Hygiene - Creating an Optimal Sleeping Environment,Use your bed for sleeping. Make sure that your bed and pillows are comfortable. Eliminate distractions. Use a “white noise” sound machine. Block out light. Keep your room at the right temperature.,1
How to Refinance Your Mortgage - Starting the New-Loan Process,"Factor in certain eligibility requirements. Know what type of loan you want. Ask about ""no-cost"" refinancing. Shop around. Allow ample time for you to get the hang of all the mortgage terms if you're a newbie on this industry.",1
How to Write a Good Cover Letter for a Developer Job - Getting Your Ideas Together,Learn the most important skills for a development job. Write down your past development experiences. Jot down your general skills. Think about why the job matters to you.,0
How to Stop Alcohol Cravings - Coping with Cravings,Learn what your triggers are and try to avoid them. Think about the past and focus on the future. Seek support from someone you trust. Contact a local branch of Alcoholics Anonymous. Try changing your routine. Be patient and stay focused.,1
How to Scream Sing without Damaging Your Voice - Getting Down the Basics,"Breathe from your diaphragm, not your chest. Layer your screams over the notes you sing. Identify the vocal placement for high and low screams. Scream sing using vocal fry.",0
How to Root Out Thistles - Properly identifying  the species of thistle you're dealing with,Know what makes a plant a thistle. Lean how to identify the Carduus group. Know that the Onopordum group also known as Cotton thistles grow into giants quickly! Recognize  Cirsium species  from the other species by the flower cluster being loosely clustered and this give flowers the look of a cluster of fireworks. Realize that there a lot of other weed plants related to thistles that are omitted from this article.,0
How to Make Out with Your Boyfriend and Have Him Love It - Initiating a Steamy Makeout Session,"Find a comfortable, safe, suitable place. Soften your lips. Flirt. Pull him closer to you. Tease him.",1
How to Start a Snowblower - Inspecting Your Snowblower,Check the oil level. Fuel up. Set the drive control to neutral.,0
How to File a Complaint Against an Arizona Real Estate Agent - Complaining to the Arizona Department of Real Estate,Determine that you have a complaint within ADRE jurisdiction. Prepare a complaint. Write a narrative statement of your complaint. Provide copies of all related documents. Submit your complaint package. Await a response to your complaint.,0
How to Use TSA PreCheck - Knowing What to Do at the Airport,Enter the security line marked for TSA PreCheck passengers. Keep your light jacket and belt on. Keep your shoes on. Refrain from removing items from your luggage. Cooperate with any additional requirements.,0
How to Remove Wrinkles from Leather Jackets - Steaming the Jacket,Place the jacket on a hanger. Turn on your shower. Hang the coat and shower. Wear the jacket.,1
How to Talk to Your Partner About Rekindling a Romance - Random delights,Give your partner romantic gifts at unexpected times. Do something special for your partner. Express your emotional affection to your partner in writing.,0
How to Make Perler Bead Snowflakes - Using Your Snowflakes for Decorations,"Make your snowflake into a magnet. Add string to the snowflakes. Decorate planners, notebooks, or binders with your snowflakes.",0
How to Extinguish a Candle - Blowing out the Candle,Position your face close to the flame. Purse your lips together and blow. Stand clear of the smoke.,0
How to Get Rid of Cellulite on Thighs - Developing Healthy Habits,Try cellulite-fighting lotions and creams. Get a lymphatic massage. Make sure your hormone levels are normal. Relax.,0
How to Throw Away a Trash Can - Recycling Your Trash Can,Find your local recycling center. Take your metal trash can to a scrap metal recycling facility. Donate your trash can.,1
How to Become an HR Professional - Expanding Your Skillset with Internships and Volunteering,Seek out human resource internships. Volunteer your time. Take part-time administrative jobs that will help you develop useful HR skills.,1
How to Check for a Fracture when Performing First Aid - Addressing the Broken Bone,Don't move the fractured bone. Stop any bleeding. Immobilize the injured area. Monitor for circulation. Apply cold therapy if possible.,0
